formula_file,timeout,timeout_reached,execution_time_in,total_sampling_time,avg_sampling_time,model_count,requested_samples,actual_samples
/home/samplingfm/Benchmarks/FeatureModels/h8max.cnf,711,True,711.0116803646088,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/smdk2410.cnf,711,True,711.0120978355408,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/snds.cnf,711,True,711.0118725299835,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/linux.cnf,711,True,711.0122509002686,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/hs7729pci.cnf,711,True,711.0095405578613,,,,10,0
/home/samplingfm/Benchmarks/FMEasy/freebsd-icse11.cnf,711,False,3.4831182956695557,,,,10,0
/home/samplingfm/Benchmarks/FMEasy/embtoolkit.cnf,711,True,711.011721611023,,,,10,0
/home/samplingfm/Benchmarks/FMEasy/busybox-1.18.0.cnf,711,True,711.0151693820953,,,,10,0
/home/samplingfm/Benchmarks/FMEasy/ecos-icse11.cnf,711,True,711.0148885250092,,,,10,0
/home/samplingfm/Benchmarks/FMEasy/uClinux-config.cnf,711,True,711.0113105773926,,,,10,0
