start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout
Tue May 28 13:02:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case207.cnf,824,165,2128,5846006549323611672814739330865132078623730171904,2,71,10,9,602.22,0.680651,0.135492,0.545159,False
Tue May 28 13:02:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case38.cnf,143,15,567,4096,2,15,10,8,17.12,0.032469,0.018777,0.013692,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case10.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:02 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring50.cnf,500,42,1965,16777216,4,35,10,10,156.60,1.87604,1.81996,0.056081,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_ptb_1_linear.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:09 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring51.cnf,496,42,1947,16777216,4,40,10,9,165.78,1.79311,1.72333,0.069774,False
Tue May 28 13:03:09 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case11.cnf,105,17,369,16384,3,12,10,8,17.50,0.025848,0.014172,0.011676,False
Tue May 28 13:03:09 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case39.cnf,245,65,650,36028797018963968,6,25,10,10,161.00,0.50351,0.455253,0.048257,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_ptb_2.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:14 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case206.cnf,14,5,42,4,0,3,10,1,0.00,0.010067,0.009614,0.000453,False
Tue May 28 13:03:16 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case212.cnf,1189,122,3476,309485009821345068724781056,3,95,10,6,723.67,1.32679,0.78973,0.537061,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_even.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_device_1_even_linear.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf,270,43,804,1099511627776,2,28,10,8,115.88,0.26336,0.183752,0.079608,False
Tue May 28 13:03:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case202.cnf,200,45,544,4398046511104,2,12,10,6,107.83,0.062189,0.018769,0.04342,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case15.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring41.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:36 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case29.cnf,65,14,190,256,1,10,10,7,13.00,0.026326,0.013366,0.01296,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case3_b14_even3.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:41 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case28.cnf,51,13,142,1024,3,8,10,8,11.25,0.021276,0.010908,0.010368,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring40.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case14.cnf,,,,,,,,,,5,,,True
Tue May 28 13:03:51 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case203.cnf,214,49,580,70368744177664,3,14,10,9,83.22,0.061603,0.024933,0.03667,False
Tue May 28 13:03:52 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf,304,40,939,137438953472,2,31,10,9,127.33,0.338348,0.20302,0.135328,False
Tue May 28 13:03:52 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf,238,45,680,4398046511104,2,26,10,9,95.56,0.505655,0.305242,0.200413,False
Tue May 28 13:03:52 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case201.cnf,200,45,544,4398046511104,2,12,10,7,98.57,0.055416,0.016278,0.039138,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring42.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf,,,,,,,,,,5,,,True
Tue May 28 13:04:02 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case17.cnf,77,14,235,2048,2,14,10,6,28.50,0.040461,0.02086,0.019601,False
Tue May 28 13:04:05 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case214.cnf,645,80,1883,151115727451828646838272,3,79,10,8,473.88,2.41227,0.524406,1.88786,False
Tue May 28 13:04:05 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case200.cnf,14,5,42,4,0,3,10,1,0.00,0.014751,0.014004,0.000747,False
