formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring22.cnf,0.14427876472473145,False,Fri Jun  5 08:07:43 2020,695,61,2193,8388608,2,24,10,9,262.33,0.120382,0.085482,0.0349
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case135.cnf,0.08021974563598633,False,Fri Jun  5 08:07:43 2020,236,41,708,2097152,1,19,10,8,129.62,0.057857,0.02473,0.033127
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring12.cnf,73.09714770317078,False,Fri Jun  5 08:08:56 2020,1507,72,5210,1865275930882,3,44,10,10,360.30,73.0605,72.7288,0.331655
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring25.cnf,0.4987063407897949,False,Fri Jun  5 08:08:57 2020,846,61,2948,28311561,4,30,10,10,330.80,0.467456,0.199384,0.268072
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring41.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case114.cnf,0.4081246852874756,False,Fri Jun  5 08:11:58 2020,428,28,1849,33554432,4,31,10,10,102.90,0.37714,0.314704,0.062436
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case34.cnf,0.4396493434906006,False,Fri Jun  5 08:11:58 2020,409,39,1597,68719476736,6,28,10,9,183.67,0.41667,0.329959,0.086711
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case100.cnf,0.0602574348449707,False,Fri Jun  5 08:11:58 2020,72,24,178,2097152,2,19,10,7,46.29,0.037437,0.016825,0.020612
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case139.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case57.cnf,0.07901978492736816,False,Fri Jun  5 08:14:58 2020,288,32,1158,536870912,4,22,10,9,82.78,0.050336,0.02607,0.024266
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf,0.2022404670715332,False,Fri Jun  5 08:14:59 2020,270,43,804,1099511627776,2,28,10,7,115.71,0.183811,0.123087,0.060724
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even2_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even2_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case14.cnf,74.8468611240387,False,Fri Jun  5 08:22:14 2020,247,67,649,562949953421312,6,41,10,9,149.67,74.7848,74.7563,0.028413
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_even3.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf,0.24148988723754883,False,Fri Jun  5 08:25:14 2020,270,43,804,1099511627776,2,28,10,9,78.67,0.214152,0.146676,0.067476
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring2.cnf,5.592017412185669,False,Fri Jun  5 08:25:20 2020,885,72,2810,68719476736,3,42,10,10,234.10,5.57291,5.50236,0.070546
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case60.cnf,0.04200005531311035,False,Fri Jun  5 08:25:20 2020,15,7,35,16,0,4,10,4,2.00,0.018511,0.014103,0.004408
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf,0.4582853317260742,False,Fri Jun  5 08:25:20 2020,238,45,680,4398046511104,2,26,10,9,98.78,0.435253,0.271976,0.163277
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case202.cnf,0.07745528221130371,False,Fri Jun  5 08:25:21 2020,200,45,544,4398046511104,2,12,10,10,91.90,0.056802,0.021289,0.035513
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case127.cnf,0.03159928321838379,False,Fri Jun  5 08:25:21 2020,36,9,104,64,0,8,10,4,12.50,0.016611,0.009633,0.006978
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case47.cnf,0.05806541442871094,False,Fri Jun  5 08:25:21 2020,118,28,327,262144,4,15,10,9,37.89,0.041573,0.022117,0.019456
